SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530169,MOHIT PAPER ,X ,Q,10.28,10.28,10.28,10.28,10.28,9.98,1,200,2056.00,
530175,ODYSSEY TECH,X ,Q,26.05,27.90,25.65,27.00,27.80,26.30,7,1612,41929.00,
530177,SPS INTL.   ,X ,Q,18.05,18.05,17.10,17.10,17.10,17.20,20,11907,214636.00,
530185,SURAT TEXT. ,X ,Q,2.75,2.86,2.72,2.75,2.75,2.75,36,18403,51151.00,
530191,CHROMATIC IN,B ,Q,1.08,1.08,1.00,1.00,1.00,0.99,5,2541,2728.00,
530201,KALLAM      ,X ,Q,16.95,17.00,16.65,16.95,16.75,17.00,14,2891,48835.00,
530207,BRAWN BIO   ,XT,Q,42.00,43.70,42.00,43.20,43.20,41.65,14,1521,65587.00,
530215,KINGSINFRA  ,X ,Q,20.00,21.30,20.00,21.20,21.20,21.10,16,1302,27605.00,
530233,AURO LAB.   ,X ,Q,64.10,65.60,64.00,64.55,65.50,65.45,14,724,46545.00,
530239,SUVEN LIFE S,A ,Q,269.60,273.20,268.95,270.10,270.10,267.30,1778,95526,25926870.00,
530243,MANGALYA SOF,XT,Q,0.58,0.58,0.58,0.58,0.58,0.58,1,51,29.00,
530251,RISA INTL   ,X ,Q,0.52,0.52,0.51,0.51,0.51,0.52,6,12021,6150.00,
530263,GLOBAL CAP. ,X ,Q,1.90,1.90,1.90,1.90,1.90,1.90,1,100,190.00,
530265,SAINIK FIN. ,X ,Q,16.15,16.15,16.15,16.15,16.15,17.00,3,700,11305.00,
530299,KOTHARI PROD,B ,Q,84.10,87.50,82.00,84.70,84.70,83.85,55,2361,199706.00,
530305,PICCADILY AG,X ,Q,10.60,10.70,10.35,10.35,10.35,10.69,4,2599,27669.00,
530307,CHAMANLAL SE,X ,Q,85.00,85.00,82.40,82.70,83.30,82.45,70,7118,591363.00,
